index,SE1,SE2,SE3,SE4,NO1,NO3,NO4,FI,DK1,DK2,PL,LT,DE
L_SE1_SE2,0.8169934640522873,-0.12908496732026173,0.0,0.0,0.0,-0.12908496732026173,0.8169934640522873,0.40849673202614367,0.0,0.0,0.0,0.0,0.0
L_SE2_SE3,0.8169934640522875,0.8709150326797384,0.0,0.0,0.0,0.8709150326797384,0.8169934640522872,0.4084967320261437,0.0,0.0,0.0,0.0,0.0
L_SE3_SE4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998
L_NO4_SE1,0.0,3.469446951953614e-17,0.0,0.0,0.0,3.469446951953614e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L_NO3_SE2,-3.469446951953614e-17,3.469446951953614e-17,0.0,0.0,0.0,1.0,3.469446951953614e-17,0.0,0.0,0.0,0.0,0.0,0.0
L_NO1_SE3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_FI_SE1,-0.18300653594771238,-0.12908496732026137,0.0,0.0,0.0,-0.12908496732026137,-0.18300653594771232,0.4084967320261439,0.0,0.0,0.0,0.0,0.0
L_FI_SE3,0.18300653594771238,0.12908496732026142,0.0,0.0,0.0,0.12908496732026142,0.18300653594771238,0.5915032679738562,0.0,0.0,0.0,0.0,0.0
L_DK1_SE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L_DK2_SE4,0.0,0.0,0.0,-8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-18
L_PL_SE4,0.0,0.0,0.0,-4.336808689942018e-18,0.0,0.0,0.0,0.0,0.0,-4.336808689942018e-18,1.0,0.0,8.673617379884035e-18
L_LT_SE4,0.0,0.0,0.0,-8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,-8.673617379884035e-18,-4.336808689942018e-18,0.9999999999999998,4.336808689942018e-18
L_DE_SE4,0.0,0.0,0.0,-4.336808689942018e-18,0.0,0.0,0.0,0.0,0.0,-4.336808689942018e-18,0.0,4.336808689942018e-18,0.9999999999999999
